team,conf,adjem,adjo,adjd,luck,Season,TeamID
austin peay,OVC,1.14,108.1,107.0,0.054000000000000006,2020,1122
austin peay,OVC,1.14,108.1,107.0,0.054000000000000006,2020,1122
charlotte,CUSA,1.13,99.9,98.8,-0.024,2020,1150
boston college,ACC,1.04,98.3,97.3,0.106,2020,1130
boston college,ACC,1.04,98.3,97.3,0.106,2020,1130
georgia southern,SB,1.03,101.1,100.1,0.003,2020,1204
georgia southern,SB,1.03,101.1,100.1,0.003,2020,1204
western carolina,SC,1.0,107.2,106.2,0.098,2020,1441
western carolina,SC,1.0,107.2,106.2,0.098,2020,1441
towson,CAA,0.93,104.6,103.6,0.006999999999999999,2020,1406
fiu,CUSA,0.91,102.2,101.3,0.029,2020,1198
fresno st.,MWC,0.82,104.2,103.3,-0.128,2020,1201
northern kentucky,Horz,0.78,101.6,100.9,0.07200000000000001,2020,1297
northern kentucky,Horz,0.78,101.6,100.9,0.07200000000000001,2020,1297
siena,MAAC,0.74,105.9,105.1,-0.05,2020,1373
old dominion,CUSA,0.63,97.2,96.6,-0.08800000000000001,2020,1330
old dominion,CUSA,0.63,97.2,96.6,-0.08800000000000001,2020,1330
north florida,ASun,0.56,109.7,109.2,0.044,2020,1316
north florida,ASun,0.56,109.7,109.2,0.044,2020,1316
uc santa barbara,BW,0.52,106.8,106.3,-0.016,2020,1364
uc santa barbara,BW,0.52,106.8,106.3,-0.016,2020,1364
uc santa barbara,BW,0.52,106.8,106.3,-0.016,2020,1364
wofford,SC,0.49,104.4,104.0,0.005,2020,1459
radford,BSth,0.44,105.9,105.4,0.046,2020,1347
southern illinois,MVC,0.36,97.8,97.5,0.022,2020,1356
southern illinois,MVC,0.36,97.8,97.5,0.022,2020,1356
texas a&m,SEC,0.29,97.7,97.4,0.079,2020,1401
toledo,MAC,0.29,106.3,106.0,-0.117,2020,1405
eastern michigan,MAC,0.25,92.5,92.2,0.052000000000000005,2020,1185
eastern michigan,MAC,0.25,92.5,92.2,0.052000000000000005,2020,1185
george mason,A10,0.15,101.6,101.5,0.067,2020,1206
george mason,A10,0.15,101.6,101.5,0.067,2020,1206
vanderbilt,SEC,0.1,103.8,103.7,-0.076,2020,1435
south dakota,Sum,-0.06,109.1,109.2,0.057,2020,1377
south dakota,Sum,-0.06,109.1,109.2,0.057,2020,1377
drake,MVC,-0.1,103.1,103.2,0.08900000000000001,2020,1179
st. francis pa,NEC,-0.52,106.8,107.3,0.045,2020,1384
sam houston st.,Slnd,-0.56,102.2,102.7,-0.05,2020,1358
california,P12,-0.68,99.8,100.5,0.07,2020,1143
northern illinois,MAC,-0.71,97.6,98.3,0.033,2020,1296
northern illinois,MAC,-0.71,97.6,98.3,0.033,2020,1296
south alabama,SB,-0.72,103.2,103.9,0.04,2020,1375
south alabama,SB,-0.72,103.2,103.9,0.04,2020,1375
la salle,A10,-0.73,98.9,99.7,0.02,2020,1247
la salle,A10,-0.73,98.9,99.7,0.02,2020,1247
abilene christian,Slnd,-0.87,98.0,98.9,-0.061,2020,1101
abilene christian,Slnd,-0.87,98.0,98.9,-0.061,2020,1101
princeton,Ivy,-1.33,106.1,107.5,0.025,2020,1343
portland st.,BSky,-1.35,107.8,109.2,-0.034,2020,1340
delaware,CAA,-1.42,105.2,106.6,0.094,2020,1174
massachusetts,A10,-1.47,101.9,103.4,-0.004,2020,1269
rider,MAAC,-1.56,101.9,103.5,0.044,2020,1351
nicholls st.,Slnd,-1.71,99.0,100.7,0.054000000000000006,2020,1311
cal baptist,WAC,-1.74,105.3,107.0,0.025,2020,1465
uab,CUSA,-1.82,100.7,102.5,0.049,2020,1412
ohio,MAC,-1.96,102.2,104.2,-0.018000000000000002,2020,1325
arkansas st.,SB,-1.99,105.5,107.5,0.07200000000000001,2020,1117
prairie view a&m,SWAC,-2.25,95.8,98.0,0.0,2020,1341
sacred heart,NEC,-2.25,101.1,103.4,0.0,2020,1357
sacred heart,NEC,-2.25,101.1,103.4,0.0,2020,1357
central michigan,MAC,-2.37,102.8,105.1,-0.001,2020,1141
central michigan,MAC,-2.37,102.8,105.1,-0.001,2020,1141
utsa,CUSA,-2.5,105.9,108.4,-0.043,2020,1427
air force,MWC,-2.52,108.3,110.8,-0.07200000000000001,2020,1102
air force,MWC,-2.52,108.3,110.8,-0.07200000000000001,2020,1102
rice,CUSA,-2.52,106.1,108.7,0.019,2020,1349
saint peter's,MAAC,-2.53,95.5,98.0,-0.026,2020,1389
william & mary,CAA,-2.55,102.7,105.3,0.131,2020,1456
utep,CUSA,-2.56,94.9,97.5,-0.022,2020,1431
sacramento st.,BSky,-2.76,94.4,97.1,0.015,2020,1170
florida atlantic,CUSA,-2.78,97.3,100.1,-0.008,2020,1194
florida atlantic,CUSA,-2.78,97.3,100.1,-0.008,2020,1194
coastal carolina,SB,-2.85,103.2,106.1,-0.019,2020,1157
coastal carolina,SB,-2.85,103.2,106.1,-0.019,2020,1157
monmouth,MAAC,-3.0,98.1,101.1,0.069,2020,1284
lafayette,Pat,-3.06,101.2,104.3,0.067,2020,1248
tulane,Amer,-3.21,100.8,104.0,-0.013,2020,1408
nebraska omaha,Sum,-3.31,103.2,106.5,0.038,2020,1303
nebraska omaha,Sum,-3.31,103.2,106.5,0.038,2020,1303
hawaii,BW,-3.35,99.0,102.3,0.038,2020,1218
montana st.,BSky,-3.38,97.2,100.6,0.056,2020,1286
san diego,WCC,-3.65,93.2,96.8,-0.036000000000000004,2020,1360
san diego,WCC,-3.65,93.2,96.8,-0.036000000000000004,2020,1360
northern arizona,BSky,-3.8,104.1,107.9,0.111,2020,1319
northern arizona,BSky,-3.8,104.1,107.9,0.111,2020,1319
loyola marymount,WCC,-3.81,100.1,103.9,-0.013,2020,1258
loyola marymount,WCC,-3.81,100.1,103.9,-0.013,2020,1258
east carolina,Amer,-3.96,98.4,102.4,-0.017,2020,1187
east carolina,Amer,-3.96,98.4,102.4,-0.017,2020,1187
dartmouth,Ivy,-4.05,94.5,98.5,-0.091,2020,1171
george washington,A10,-4.13,99.9,104.1,0.021,2020,1203
george washington,A10,-4.13,99.9,104.1,0.021,2020,1203
brown,Ivy,-4.14,97.9,102.0,0.127,2020,1135
robert morris,NEC,-4.32,99.2,103.5,0.006,2020,1352
robert morris,NEC,-4.32,99.2,103.5,0.006,2020,1352
uc davis,BW,-4.5,104.6,109.1,-0.019,2020,1413
uc davis,BW,-4.5,104.6,109.1,-0.019,2020,1413
illinois chicago,Horz,-4.59,96.3,100.9,-0.003,2020,1227
american,Pat,-4.6,100.3,104.9,0.013,2020,1110
merrimack,NEC,-4.63,93.4,98.1,0.145,2020,1467
uc riverside,BW,-4.75,96.6,101.4,-0.036000000000000004,2020,1415
uc riverside,BW,-4.75,96.6,101.4,-0.036000000000000004,2020,1415
mercer,SC,-4.78,98.8,103.6,0.034,2020,1273
illinois st.,MVC,-4.83,98.6,103.5,-0.008,2020,1229
seattle,WAC,-5.25,98.7,103.9,-0.058,2020,1370
louisiana,SB,-5.37,100.1,105.4,0.004,2020,1418
drexel,CAA,-5.48,100.1,105.6,0.026,2020,1180
gardner webb,BSth,-5.49,100.2,105.7,-0.086,2020,1205
gardner webb,BSth,-5.49,100.2,105.7,-0.086,2020,1205
north dakota,Sum,-5.78,101.3,107.1,0.036000000000000004,2020,1315
north dakota,Sum,-5.78,101.3,107.1,0.036000000000000004,2020,1315
jacksonville,ASun,-5.97,95.3,101.3,-0.063,2020,1239
bryant,NEC,-5.99,96.3,102.3,-0.055,2020,1136
iona,MAAC,-6.09,101.8,107.9,-0.042,2020,1233
green bay,Horz,-6.13,105.4,111.6,0.063,2020,1453
green bay,Horz,-6.13,105.4,111.6,0.063,2020,1453
tennessee st.,OVC,-6.46,98.0,104.4,0.078,2020,1398
albany,AE,-6.49,95.6,102.1,0.035,2020,1107
ut rio grande valley,WAC,-6.58,98.2,104.7,-0.052000000000000005,2020,1410
manhattan,MAAC,-6.64,92.3,98.9,0.021,2020,1264
norfolk st.,MEAC,-6.69,94.6,101.3,-0.069,2020,1313
grand canyon,WAC,-6.77,102.3,109.1,0.037000000000000005,2020,1213
grand canyon,WAC,-6.77,102.3,109.1,0.037000000000000005,2020,1213
southern miss,CUSA,-6.82,97.5,104.3,0.004,2020,1379
southern miss,CUSA,-6.82,97.5,104.3,0.004,2020,1379
cal st. northridge,BW,-6.83,105.3,112.1,0.019,2020,1169
western michigan,MAC,-6.93,99.5,106.4,0.066,2020,1444
western michigan,MAC,-6.93,99.5,106.4,0.066,2020,1444
bucknell,Pat,-6.98,96.1,103.1,-0.011,2020,1137
oakland,Horz,-7.01,98.2,105.2,-0.041,2020,1324
umkc,WAC,-7.04,96.5,103.6,0.048,2020,1282
youngstown st.,Horz,-7.09,102.0,109.1,0.061,2020,1464
canisius,MAAC,-7.17,98.2,105.4,-0.052000000000000005,2020,1145
eastern illinois,OVC,-7.35,98.2,105.5,-0.121,2020,1183
eastern illinois,OVC,-7.35,98.2,105.5,-0.121,2020,1183
cal st. bakersfield,WAC,-7.38,97.7,105.1,-0.052000000000000005,2020,1167
army,Pat,-7.63,98.4,106.0,0.053,2020,1119
mcneese st.,Slnd,-7.63,104.3,111.9,-0.045,2020,1270
texas southern,SWAC,-7.64,98.2,105.8,0.105,2020,1411
texas southern,SWAC,-7.64,98.2,105.8,0.105,2020,1411
new hampshire,AE,-7.65,94.1,101.7,0.004,2020,1306
new hampshire,AE,-7.65,94.1,101.7,0.004,2020,1306
milwaukee,Horz,-7.73,94.9,102.7,0.029,2020,1454
hartford,AE,-7.88,93.0,100.9,0.043,2020,1216
navy,Pat,-7.95,97.7,105.6,0.044,2020,1298
saint joseph's,A10,-8.25,101.0,109.3,0.016,2020,1386
miami oh,MAC,-8.26,100.4,108.6,0.006,2020,1275
miami oh,MAC,-8.26,100.4,108.6,0.006,2020,1275
quinnipiac,MAAC,-8.27,100.4,108.7,-0.001,2020,1346
utah valley,WAC,-8.39,96.0,104.3,-0.096,2020,1430
utah valley,WAC,-8.39,96.0,104.3,-0.096,2020,1430
loyola md,Pat,-8.47,101.4,109.9,0.028,2020,1259
loyola md,Pat,-8.47,101.4,109.9,0.028,2020,1259
liu,NEC,-8.49,98.3,106.8,-0.005,2020,1254
lamar,Slnd,-8.49,94.0,102.5,0.028,2020,1249
fordham,A10,-8.63,88.3,97.0,-0.066,2020,1200
jacksonville st.,OVC,-8.66,95.9,104.5,-0.104,2020,1240
purdue fort wayne,Sum,-8.7,97.3,106.0,-0.013,2020,1236
columbia,Ivy,-8.77,95.3,104.1,-0.145,2020,1162
lipscomb,ASun,-8.83,98.9,107.7,0.004,2020,1252
vmi,SC,-8.85,100.6,109.5,-0.155,2020,1440
cal st. fullerton,BW,-8.98,95.6,104.6,0.027000000000000003,2020,1168
central arkansas,Slnd,-9.11,97.9,107.0,0.009000000000000001,2020,1146
central arkansas,Slnd,-9.11,97.9,107.0,0.009000000000000001,2020,1146
troy,SB,-9.13,96.0,105.1,-0.031,2020,1407
umbc,AE,-9.43,95.1,104.5,-0.01,2020,1420
louisiana monroe,SB,-9.44,95.2,104.7,-0.069,2020,1419
san jose st.,MWC,-9.47,97.6,107.1,0.016,2020,1363
north carolina central,MEAC,-9.49,92.5,102.0,0.006999999999999999,2020,1300
north carolina central,MEAC,-9.49,92.5,102.0,0.006999999999999999,2020,1300
campbell,BSth,-9.52,96.3,105.8,-0.042,2020,1144
weber st.,BSky,-9.56,97.7,107.2,0.032,2020,1451
north carolina a&t,MEAC,-9.64,91.3,100.9,0.051,2020,1299
umass lowell,AE,-9.76,102.4,112.1,-0.029,2020,1262
umass lowell,AE,-9.76,102.4,112.1,-0.029,2020,1262
portland,WCC,-9.85,94.9,104.7,0.006,2020,1339
north alabama,ASun,-9.92,94.4,104.3,-0.024,2020,1466
evansville,MVC,-10.03,97.5,107.5,0.039,2020,1191
stetson,ASun,-10.13,96.2,106.4,0.127,2020,1391
elon,CAA,-10.47,99.4,109.9,-0.044,2020,1189
wyoming,MWC,-10.5,91.5,102.0,-0.049,2020,1461
idaho st.,BSky,-10.55,99.1,109.7,-0.008,2020,1226
fairfield,MAAC,-10.58,89.8,100.4,0.07,2020,1193
james madison,CAA,-10.7,98.7,109.4,0.006999999999999999,2020,1241
james madison,CAA,-10.7,98.7,109.4,0.006999999999999999,2020,1241
northwestern st.,Slnd,-11.0,94.6,105.6,0.042,2020,1322
unc asheville,BSth,-11.03,98.5,109.5,-0.006,2020,1421
unc asheville,BSth,-11.03,98.5,109.5,-0.006,2020,1421
eastern kentucky,OVC,-11.04,96.2,107.2,0.085,2020,1184
eastern kentucky,OVC,-11.04,96.2,107.2,0.085,2020,1184
texas a&m corpus chris,Slnd,-11.06,92.9,103.9,-0.008,2020,1394
niagara,MAAC,-11.14,99.6,110.7,0.066,2020,1310
bethune cookman,MEAC,-11.21,96.1,107.3,-0.006,2020,1126
cornell,Ivy,-11.24,98.9,110.2,-0.114,2020,1165
jackson st.,SWAC,-11.3,92.1,103.4,-0.031,2020,1238
fairleigh dickinson,NEC,-11.31,101.0,112.3,-0.056,2020,1192
fairleigh dickinson,NEC,-11.31,101.0,112.3,-0.056,2020,1192
middle tennessee,CUSA,-11.4,99.0,110.4,-0.009000000000000001,2020,1292
middle tennessee,CUSA,-11.4,99.0,110.4,-0.009000000000000001,2020,1292
detroit,Horz,-11.44,98.9,110.3,-0.068,2020,1178
idaho,BSky,-11.53,91.9,103.4,-0.026,2020,1225
njit,ASun,-11.54,95.9,107.4,-0.077,2020,1312
mount st. mary's,NEC,-11.55,94.8,106.3,-0.062,2020,1291
st. francis ny,NEC,-11.61,94.4,106.1,0.058,2020,1383
long beach st.,BW,-11.7,94.2,105.9,0.095,2020,1253
southern,SWAC,-11.97,96.1,108.1,-0.026,2020,1380
